Country Name,Country Code,Indicator Name,2019,2020,2021,2022
Aruba,ABW,GDP per capita (current US$),31096.20507,22855.93232,27200.06108,30559.53353
Africa Eastern and Southern,AFE,GDP per capita (current US$),1493.817938,1344.10321,1522.393346,1628.318944
Afghanistan,AFG,GDP per capita (current US$),496.6025043,510.7870634,356.4962141,357.2611528
Africa Western and Central,AFW,GDP per capita (current US$),1798.340685,1680.039332,1765.954788,1796.668633
Angola,AGO,GDP per capita (current US$),2189.855714,1449.922867,1925.874661,2929.694455
Albania,ALB,GDP per capita (current US$),5460.430509,5370.7775,6413.282808,6846.426694
Andorra,AND,GDP per capita (current US$),41257.80458,37361.09007,42425.69968,42414.05901
Arab World,ARB,GDP per capita (current US$),6638.485415,5722.480995,6681.708952,7931.617893
United Arab Emirates,ARE,GDP per capita (current US$),44251.45414,37173.87541,43360.0211,49899.0653
Argentina,ARG,GDP per capita (current US$),9955.974787,8535.59938,10738.01792,13935.68111
Armenia,ARM,GDP per capita (current US$),4597.228874,4268.680933,4685.179971,6571.974455
American Samoa,ASM,GDP per capita (current US$),12886.13595,14489.25866,15236.16049,18017.45894
Antigua and Barbuda,ATG,GDP per capita (current US$),18896.37218,15369.60823,17348.6007,20105.19891
Australia,AUS,GDP per capita (current US$),54972.70179,51791.54018,60607.77886,64997.01365
Austria,AUT,GDP per capita (current US$),49885.99474,48716.40989,53648.71907,52176.66491
Azerbaijan,AZE,GDP per capita (current US$),4805.753718,4229.910649,5408.045352,7770.594223
Burundi,BDI,GDP per capita (current US$),210.2364945,210.0081399,214.0914554,250.6342254
Belgium,BEL,GDP per capita (current US$),46716.62275,45906.28758,51658.23829,50822.25185
Benin,BEN,GDP per capita (current US$),1130.821353,1200.194266,1318.651581,1266.42711
Burkina Faso,BFA,GDP per capita (current US$),764.8530778,825.2370388,895.5352884,836.1183046
Bangladesh,BGD,GDP per capita (current US$),2129.79897,2248.850788,2482.849178,2716.485928
Bulgaria,BGR,GDP per capita (current US$),10372.80443,10769.94757,12972.21734,13999.67192
Bahrain,BHR,GDP per capita (current US$),27259.74386,24342.84446,27147.80839,30470.52193
"Bahamas, The",BHS,GDP per capita (current US$),33640.33699,26178.75376,30367.86058,34957.16133
Bosnia and Herzegovina,BIH,GDP per capita (current US$),6122.375345,6130.311332,7295.343824,7655.59421
Belarus,BLR,GDP per capita (current US$),6837.773396,6542.8558,7489.718947,7994.648061
Belize,BLZ,GDP per capita (current US$),6190.047923,5227.193638,6122.611586,7068.454783
Bermuda,BMU,GDP per capita (current US$),115798.0408,106976.5462,112765.0817,121613.94
Bolivia,BOL,GDP per capita (current US$),3503.896011,3099.942191,3384.844865,3643.92827
Brazil,BRA,GDP per capita (current US$),9029.833267,7074.193783,7972.53665,9281.333344
Barbados,BRB,GDP per capita (current US$),20583.72658,18347.11091,18696.7859,22164.02603
Brunei Darussalam,BRN,GDP per capita (current US$),30426.57303,26834.35925,31006.96362,36632.92804
Bhutan,BTN,GDP per capita (current US$),3576.879871,3191.66907,3570.61258,3711.32768
Botswana,BWA,GDP per capita (current US$),7172.089565,6323.297498,7807.887945,8328.709057
Central African Republic,CAF,GDP per capita (current US$),449.2284676,462.8790713,492.2631428,467.359825
Canada,CAN,GDP per capita (current US$),46352.86934,43537.8393,52886.66164,56256.80073
Central Europe and the Baltics,CEB,GDP per capita (current US$),16551.84889,16595.93527,19239.8185,19548.69305
Switzerland,CHE,GDP per capita (current US$),84121.93103,85897.78433,93664.77367,94394.51068
Channel Islands,CHI,GDP per capita (current US$),60568.10835,56785.9402,66912.17532,67627.30845
Chile,CHL,GDP per capita (current US$),14495.71672,13114.81547,16206.83255,15405.61658
China,CHN,GDP per capita (current US$),10342.90095,10627.4638,12887.43572,12970.60564
Cote d'Ivoire,CIV,GDP per capita (current US$),2141.768362,2179.729348,2455.981276,2333.371283
Cameroon,CMR,GDP per capita (current US$),1555.226605,1555.603707,1672.326573,1604.87727
"Congo, Dem. Rep.",COD,GDP per capita (current US$),557.0441613,507.5212301,558.0340773,642.6122671
"Congo, Rep.",COG,GDP per capita (current US$),2488.424667,1993.586672,2516.162551,2620.838043
Colombia,COL,GDP per capita (current US$),6472.545449,5339.687114,6222.621644,6680.445069
Comoros,COM,GDP per capita (current US$),1519.263863,1527.169909,1587.729886,1533.877553
