SID,SEASON,NAME,ISO_TIME,NATURE,LAT,LON,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS
1998310S10096,1999,ALISON,11/9/1998 10:00,TS,-14,95.6,SH041999,-14,95.8, , ,65, ,1
1998310S10096,1999,ALISON,11/9/1998 12:00,TS,-14.1,95.4,SH041999,-14.2,95.6, , ,70, ,1
1998310S10096,1999,ALISON,11/9/1998 13:00,TS,-14.2,95.2,SH041999,-14.3,95.5, , ,70, ,1
1998310S10096,1999,ALISON,11/9/1998 15:00,TS,-14.4,95,SH041999,-14.4,95.1, , ,70, ,1
1998310S10096,1999,ALISON,11/9/1998 16:00,TS,-14.4,94.8,SH041999,-14.5,95, , ,70, ,1
1998310S10096,1999,ALISON,11/9/1998 18:00,TS,-14.6,94.6,SH041999,-14.6,94.7, , ,70, ,1
1998310S10096,1999,ALISON,11/9/1998 19:00,TS,-14.6,94.5,SH041999,-14.7,94.6, , ,70, ,1
1998310S10096,1999,ALISON,11/9/1998 21:00,TS,-14.8,94.3,SH041999,-14.8,94.3, , ,70, ,1
1998310S10096,1999,ALISON,11/9/1998 22:00,TS,-14.8,94.1,SH041999,-14.9,94.2, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 0:00,TS,-15,94,SH041999,-15,94, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 1:00,TS,-15.1,93.9,SH041999,-15.1,93.9, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 3:00,TS,-15.3,93.6,SH041999,-15.3,93.6, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 4:00,TS,-15.4,93.5,SH041999,-15.4,93.5, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 6:00,TS,-15.6,93.4,SH041999,-15.6,93.3, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 7:00,TS,-15.7,93.3,SH041999,-15.7,93.2, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 9:00,TS,-15.9,93.2,SH041999,-16,93, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 10:00,TS,-16.1,93.1,SH041999,-16.1,92.9, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 12:00,TS,-16.3,93,SH041999,-16.3,92.8, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 13:00,TS,-16.4,92.9,SH041999,-16.4,92.7, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 15:00,TS,-16.5,92.8,SH041999,-16.6,92.6, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 16:00,TS,-16.6,92.7,SH041999,-16.7,92.6, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 18:00,TS,-16.7,92.6,SH041999,-16.8,92.5, , ,70, ,1
1998310S10096,1999,ALISON,11/10/1998 19:00,TS,-16.8,92.5,SH041999,-16.9,92.5, , ,69, ,1
1998310S10096,1999,ALISON,11/10/1998 21:00,TS,-17,92.5,SH041999,-17,92.4, , ,68, ,1
1998310S10096,1999,ALISON,11/10/1998 22:00,TS,-17,92.4,SH041999,-17.1,92.4, , ,67, ,1
1998310S10096,1999,ALISON,11/11/1998 0:00,TS,-17.2,92.3,SH041999,-17.2,92.3, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 1:00,TS,-17.3,92.3,SH041999,-17.3,92.3, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 3:00,TS,-17.5,92.2,SH041999,-17.4,92.2, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 4:00,TS,-17.5,92.1,SH041999,-17.5,92.1, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 6:00,TS,-17.7,92,SH041999,-17.7,92, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 7:00,TS,-17.8,92,SH041999,-17.8,92, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 9:00,TS,-18,91.9,SH041999,-18,91.9, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 10:00,TS,-18.1,91.9,SH041999,-18.1,91.8, , ,65, ,1
1998310S10096,1999,ALISON,11/11/1998 12:00,TS,-18.3,91.8,SH041999,-18.3,91.8, , ,65, ,1
