Critic,CaptainAmerica,Deadpool,Frozen,JungleBook,PitchPerfect2,StarWarsForce,user avg,user avg - mean movie
Burton,NA,NA,NA,4,NA,4,4.00,0.07
Charley,4,5,4,3,2,3,3.50,-0.43
Dan,NA,5,NA,NA,NA,5,5.00,1.07
Dieudonne,5,4,NA,NA,NA,5,4.67,0.73
Matt,4,NA,2,NA,2,5,3.25,-0.68
Mauricio,4,NA,3,3,4,NA,3.50,-0.43
Max,4,4,4,2,2,4,3.33,-0.60
Nathan,NA,NA,NA,NA,NA,4,4.00,0.07
Param,4,4,1,NA,NA,5,3.50,-0.43
Parshu,4,3,5,5,2,3,3.67,-0.27
Prashanth,5,5,5,5,NA,4,4.80,0.87
Shipra,NA,NA,4,5,NA,3,4.00,0.07
Sreejaya,5,5,5,4,4,5,4.67,0.73
Steve,4,NA,NA,NA,NA,4,4.00,0.07
Vuthy,4,5,3,3,3,NA,3.60,-0.33
Xingjia,NA,NA,5,5,NA,NA,5.00,1.07
movie avg,4.27,4.44,3.73,3.90,2.71,4.15,3.93,
movie avg - mean movie,0.34,0.51,-0.21,-0.03,-1.22,0.22,,
