# Title: Global Ocean 60-Month Period Average Temperature Anomalies,
# Units: Degrees Celsius,
# Base Period: 1901-2000,
Date,Anomaly
199901,0.39
199902,0.39
199903,0.39
199904,0.39
199905,0.39
199906,0.4
199907,0.39
199908,0.39
199909,0.39
199910,0.39
199911,0.39
199912,0.39
200001,0.39
200002,0.39
200003,0.39
200004,0.39
200005,0.39
200006,0.39
200007,0.38
200008,0.38
200009,0.38
200010,0.39
200011,0.39
200012,0.39
200101,0.39
200102,0.39
200103,0.39
200104,0.39
200105,0.39
200106,0.4
200107,0.4
200108,0.4
200109,0.41
200110,0.41
200111,0.41
200112,0.41
200201,0.42
200202,0.42
200203,0.42
200204,0.42
200205,0.43
200206,0.43
200207,0.43
200208,0.42
200209,0.42
200210,0.42
200211,0.42
200212,0.42
200301,0.41
200302,0.41
200303,0.41
200304,0.41
200305,0.41
200306,0.41
200307,0.41
200308,0.41
200309,0.41
200310,0.41
200311,0.41
200312,0.41
200401,0.42
200402,0.42
200403,0.42
200404,0.42
200405,0.43
200406,0.43
200407,0.43
200408,0.43
200409,0.44
200410,0.44
200411,0.45
200412,0.45
200501,0.45
200502,0.46
200503,0.46
200504,0.46
200505,0.46
200506,0.47
200507,0.47
200508,0.47
200509,0.48
200510,0.48
200511,0.48
200512,0.48
200601,0.48
200602,0.48
200603,0.48
200604,0.48
200605,0.48
200606,0.48
200607,0.48
200608,0.49
200609,0.49
200610,0.49
200611,0.49
200612,0.49
200701,0.49
200702,0.49
200703,0.49
200704,0.49
200705,0.49
200706,0.48
200707,0.48
200708,0.48
200709,0.48
200710,0.48
200711,0.48
200712,0.47
200801,0.47
200802,0.47
200803,0.46
200804,0.46
200805,0.46
200806,0.46
200807,0.46
200808,0.46
200809,0.46
200810,0.45
200811,0.45
200812,0.45
200901,0.45
200902,0.45
200903,0.44
200904,0.44
200905,0.44
200906,0.45
200907,0.45
200908,0.45
200909,0.45
200910,0.45
200911,0.45
200912,0.46
201001,0.46
201002,0.46
201003,0.46
201004,0.47
201005,0.47
201006,0.47
201007,0.47
201008,0.47
201009,0.47
201010,0.47
201011,0.47
201012,0.47
201101,0.46
201102,0.46
201103,0.46
201104,0.46
201105,0.46
201106,0.46
201107,0.46
201108,0.46
201109,0.46
201110,0.46
201111,0.45
201112,0.45
201201,0.45
201202,0.45
201203,0.45
201204,0.45
201205,0.45
201206,0.45
201207,0.45
201208,0.45
201209,0.45
201210,0.46
201211,0.46
201212,0.47
201301,0.47
201302,0.47
201303,0.47
201304,0.48
201305,0.48
201306,0.48
201307,0.48
201308,0.48
201309,0.49
201310,0.49
201311,0.49
201312,0.49
201401,0.49
201402,0.49
201403,0.5
201404,0.5
201405,0.5
201406,0.5
201407,0.5
201408,0.5
201409,0.51
201410,0.51
201411,0.51
201412,0.51
201501,0.51
201502,0.51
201503,0.51
201504,0.51
201505,0.51
201506,0.51
201507,0.51
201508,0.52
201509,0.52
201510,0.53
201511,0.54
201512,0.55
201601,0.55
201602,0.56
201603,0.57
201604,0.57
201605,0.58
201606,0.58
201607,0.59
201608,0.6
201609,0.6
201610,0.61
201611,0.61
201612,0.61
201701,0.62
201702,0.63
201703,0.63
201704,0.64
201705,0.64
201706,0.64
201707,0.65
201708,0.65
201709,0.65
201710,0.66
201711,0.66
201712,0.66
201801,0.66
201802,0.66
201803,0.66
201804,0.67
201805,0.67
201806,0.67
201807,0.67
201808,0.67
201809,0.68
201810,0.68
201811,0.68
201812,0.69
201901,0.69
201902,0.69
201903,0.7
201904,0.7
201905,0.7
201906,0.7
201907,0.71
201908,0.71
201909,0.71
201910,0.71
201911,0.71
201912,0.72
202001,0.72
202002,0.72
202003,0.73
202004,0.73
202005,0.73
202006,0.73
202007,0.73
202008,0.73
202009,0.73
202010,0.72
202011,0.72
202012,0.72
202101,0.71
202102,0.71
202103,0.7
202104,0.7
202105,0.7
202106,0.69
202107,0.69
202108,0.69
202109,0.69
202110,0.69
202111,0.69
202112,0.69
202201,0.69
202202,0.69
202203,0.69
202204,0.69
202205,0.68
202206,0.68
202207,0.68
202208,0.68
202209,0.68
202210,0.68
202211,0.68
202212,0.69
202301,0.69
202302,0.69
202303,0.69
202304,0.7
202305,0.7
202306,0.7
202307,0.71
202308,0.72
202309,0.72
202310,0.73
202311,0.73
202312,0.74
202401,0.74
202402,0.75
202403,0.75
202404,0.76
202405,0.76
202406,0.76
202407,0.77
202408,0.77
202409,0.77
202410,0.78
202411,0.78
202412,0.78
