Year,Category,Strata,Cases,Population,"Rate per 100,000 population"
2005,Total,All cases,2897,"35,985,582",8.1
2006,Total,All cases,2776,"36,246,822",7.7
2007,Total,All cases,2722,"36,552,529",7.4
2008,Total,All cases,2695,"36,856,222",7.3
2009,Total,All cases,2466,"37,077,204",6.7
2010,Total,All cases,2323,"37,363,368",6.2
2011,Total,All cases,2320,"37,703,593",6.2
2012,Total,All cases,2184,"38,055,785",5.7
2013,Total,All cases,2162,"38,342,642",5.6
2014,Total,All cases,2130,"38,644,802",5.5
2015,Total,All cases,2131,"38,913,507",5.5
2016,Total,All cases,2059,"39,127,855",5.3
2017,Total,All cases,2057,"39,328,926",5.2
2018,Total,All cases,2097,"39,476,064",5.3
2019,Total,All cases,2111,"39,529,566",5.3
2020,Total,All cases,1704,"39,541,786",4.3
2021,Total,All cases,1752,"39,368,613",4.5
2005,Race/ethnicity,white,267,"15,716,066",1.7
2005,Race/ethnicity,black,224,"2,220,269",10.1
2005,Race/ethnicity,hispanic,1127,"12,667,790",8.9
2005,Race/ethnicity,asian,1253,"4,314,290",29.0
2005,Race/ethnicity,amerind/natalask,4,"171,253",.
2005,Race/ethnicity,natHW/PacIsl,12,"121,791",9.9
2005,Race/ethnicity,multirace,6,"774,123",0.8
2005,Race/ethnicity,unknown,4,.,.
2006,Race/ethnicity,white,267,"15,625,359",1.7
2006,Race/ethnicity,black,207,"2,216,691",9.3
2006,Race/ethnicity,hispanic,1066,"12,923,558",8.2
2006,Race/ethnicity,asian,1207,"4,387,101",27.5
2006,Race/ethnicity,amerind/natalask,8,"170,429",4.7
2006,Race/ethnicity,natHW/PacIsl,11,"123,590",8.9
2006,Race/ethnicity,multirace,6,"800,094",0.7
2006,Race/ethnicity,unknown,4,.,.
2007,Race/ethnicity,white,235,"15,556,795",1.5
2007,Race/ethnicity,black,216,"2,216,181",9.7
2007,Race/ethnicity,hispanic,995,"13,185,607",7.5
2007,Race/ethnicity,asian,1240,"4,471,976",27.7
2007,Race/ethnicity,amerind/natalask,6,"170,108",3.5
2007,Race/ethnicity,natHW/PacIsl,17,"125,647",13.5
2007,Race/ethnicity,multirace,4,"826,214",.
2007,Race/ethnicity,unknown,9,.,.
2008,Race/ethnicity,white,258,"15,487,390",1.7
2008,Race/ethnicity,black,207,"2,217,102",9.3
2008,Race/ethnicity,hispanic,1058,"13,443,156",7.9
2008,Race/ethnicity,asian,1143,"4,560,822",25.1
2008,Race/ethnicity,amerind/natalask,9,"169,713",5.3
2008,Race/ethnicity,natHW/PacIsl,13,"127,596",10.2
2008,Race/ethnicity,multirace,6,"850,443",0.7
2008,Race/ethnicity,unknown,1,.,.
2009,Race/ethnicity,white,216,"15,251,448",1.4
2009,Race/ethnicity,black,188,"2,205,579",8.5
2009,Race/ethnicity,hispanic,913,"13,792,550",6.6
2009,Race/ethnicity,asian,1119,"4,642,697",24.1
2009,Race/ethnicity,amerind/natalask,3,"168,736",.
2009,Race/ethnicity,natHW/PacIsl,13,"129,446",10.0
2009,Race/ethnicity,multirace,7,"886,747",0.8
2009,Race/ethnicity,unknown,7,.,.
2010,Race/ethnicity,white,184,"15,050,147",1.2
2010,Race/ethnicity,black,151,"2,192,807",6.9
2010,Race/ethnicity,hispanic,872,"14,071,306",6.2
2010,Race/ethnicity,asian,1097,"4,835,369",22.7
2010,Race/ethnicity,amerind/natalask,1,"165,599",.
2010,Race/ethnicity,natHW/PacIsl,14,"132,919",10.5
2010,Race/ethnicity,multirace,4,"915,221",.
2011,Race/ethnicity,white,191,"15,088,385",1.3
2011,Race/ethnicity,black,138,"2,204,819",6.3
2011,Race/ethnicity,hispanic,850,"14,289,592",5.9
2011,Race/ethnicity,asian,1106,"4,885,148",22.6
2011,Race/ethnicity,amerind/natalask,4,"166,903",.
2011,Race/ethnicity,natHW/PacIsl,25,"134,495",18.6
2011,Race/ethnicity,multirace,6,"934,251",0.6
2012,Race/ethnicity,white,177,"15,132,794",1.2
2012,Race/ethnicity,black,137,"2,215,852",6.2
2012,Race/ethnicity,hispanic,817,"14,505,336",5.6
2012,Race/ethnicity,asian,1027,"4,943,480",20.8
2012,Race/ethnicity,amerind/natalask,6,"167,722",3.6
2012,Race/ethnicity,natHW/PacIsl,14,"136,112",10.3
2012,Race/ethnicity,multirace,6,"954,490",0.6
2013,Race/ethnicity,white,176,"15,153,856",1.2
2013,Race/ethnicity,black,132,"2,226,419",5.9
2013,Race/ethnicity,hispanic,784,"14,689,377",5.3
2013,Race/ethnicity,asian,1052,"4,993,849",21.1
2013,Race/ethnicity,amerind/natalask,3,"168,455",.
2013,Race/ethnicity,natHW/PacIsl,7,"137,387",5.1
2013,Race/ethnicity,multirace,8,"973,300",0.8
2014,Race/ethnicity,white,156,"15,184,452",1.0
2014,Race/ethnicity,black,117,"2,238,225",5.2
2014,Race/ethnicity,hispanic,763,"14,875,325",5.1
2014,Race/ethnicity,asian,1073,"5,045,636",21.3
2014,Race/ethnicity,amerind/natalask,3,"169,344",.
2014,Race/ethnicity,natHW/PacIsl,11,"138,703",7.9
2014,Race/ethnicity,multirace,6,"993,116",0.6
2014,Race/ethnicity,unknown,1,.,.
2015,Race/ethnicity,white,132,"15,199,263",0.9
2015,Race/ethnicity,black,98,"2,244,683",4.4
2015,Race/ethnicity,hispanic,762,"15,051,452",5.1
2015,Race/ethnicity,asian,1127,"5,096,207",22.1
2015,Race/ethnicity,amerind/natalask,1,"169,929",.
2015,Race/ethnicity,natHW/PacIsl,10,"139,978",7.1
2015,Race/ethnicity,multirace,1,"1,011,994",.
2016,Race/ethnicity,white,143,"15,199,544",0.9
2016,Race/ethnicity,black,104,"2,249,893",4.6
2016,Race/ethnicity,hispanic,703,"15,204,696",4.6
2016,Race/ethnicity,asian,1082,"5,132,792",21.1
2016,Race/ethnicity,amerind/natalask,5,"170,435",2.9
2016,Race/ethnicity,natHW/PacIsl,14,"140,882",9.9
2016,Race/ethnicity,multirace,7,"1,029,614",0.7
2016,Race/ethnicity,unknown,1,.,.
2017,Race/ethnicity,white,107,"15,195,592",0.7
2017,Race/ethnicity,black,105,"2,254,099",4.7
2017,Race/ethnicity,hispanic,727,"15,351,298",4.7
2017,Race/ethnicity,asian,1103,"5,168,676",21.3
2017,Race/ethnicity,amerind/natalask,1,"171,002",.
2017,Race/ethnicity,natHW/PacIsl,12,"141,868",8.5
2017,Race/ethnicity,multirace,2,"1,046,391",.
2018,Race/ethnicity,white,128,"15,175,176",0.8
2018,Race/ethnicity,black,90,"2,256,725",4.0
2018,Race/ethnicity,hispanic,739,"15,469,873",4.8
2018,Race/ethnicity,asian,1115,"5,197,477",21.5
2018,Race/ethnicity,amerind/natalask,.,"171,284",.
2018,Race/ethnicity,natHW/PacIsl,19,"142,461",13.3
2018,Race/ethnicity,multirace,6,"1,063,068",0.6
2019,Race/ethnicity,white,130,"15,141,305",0.9
2019,Race/ethnicity,black,91,"2,264,828",4.0
2019,Race/ethnicity,hispanic,820,"15,538,301",5.3
2019,Race/ethnicity,asian,1056,"5,193,770",20.3
2019,Race/ethnicity,amerind/natalask,1,"171,563",.
2019,Race/ethnicity,natHW/PacIsl,11,"142,636",7.7
2019,Race/ethnicity,multirace,2,"1,077,162",.
2020,Race/ethnicity,white,108,"15,095,382",0.7
2020,Race/ethnicity,black,86,"2,269,668",3.8
2020,Race/ethnicity,hispanic,614,"15,586,668",3.9
2020,Race/ethnicity,asian,881,"5,185,052",17.0
2020,Race/ethnicity,amerind/natalask,1,"171,982",.
2020,Race/ethnicity,natHW/PacIsl,10,"142,552",7.0
2020,Race/ethnicity,multirace,4,"1,090,481",.
2021,Race/ethnicity,white,96,"14,982,862",0.6
2021,Race/ethnicity,black,63,"2,262,130",2.8
2021,Race/ethnicity,hispanic,710,"15,565,600",4.6
2021,Race/ethnicity,asian,867,"5,147,039",16.8
2021,Race/ethnicity,amerind/natalask,5,"171,594",2.9
2021,Race/ethnicity,natHW/PacIsl,5,"141,731",3.5
2021,Race/ethnicity,multirace,3,"1,097,657",.
2021,Race/ethnicity,unknown,3,.,.
2005,Age group,0-4,85,"2,589,301",3.3
2005,Age group,5-14,66,"5,361,526",1.2
